drug_a,drug_b,interaction,severity,mechanism,clinical_risk,recommendation,potential_alternative
Morphine,Sertraline,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Simvastatin,Azithromycin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Rivaroxaban,Quetiapine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Dabigatran,Alprazolam,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Valsartan,Olanzapine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Alprazolam,Levofloxacin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Digoxin,Enalapril,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Naproxen,Glipizide,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Digoxin,Sertraline,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Pravastatin,Tacrolimus,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Tramadol,Alprazolam,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Azithromycin,Theophylline,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Fentanyl,Enalapril,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Doxycycline,Salbutamol,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Fluconazole,Empagliflozin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Quetiapine,Empagliflozin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Rivaroxaban,Oxycodone,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Amitriptyline,Salbutamol,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Alprazolam,Azithromycin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Celecoxib,Hydrochlorothiazide,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Diltiazem,Lorazepam,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Levetiracetam,Omeprazole,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Naproxen,Empagliflozin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Valsartan,Ondansetron,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Digoxin,Metformin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Fentanyl,Atenolol,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Alprazolam,Ondansetron,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Amoxicillin,Doxycycline,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Atenolol,Olanzapine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
